ID_CLIENT;CIVILITE;DATE_NAIS;DATE_CREATION;CODE_POSTAL;FLAG_EMAIL;FLAG_MOBILE;NB_ENFANT;OPTIN_EMAIL;OPTIN_SMS;FLAG_ADRESSE;NPAI_ADRESSE
0020019353;3;22/02/1978;01/11/2000;75019;0;1;;;;;
0021000151;2;04/03/1972;15/12/2008;47200;0;1;;;;;
0021000227;1;20/11/1993;30/12/2008;33000;0;1;;;;;
0021000241;2;;21/01/2009;33370;0;0;;;;;
0021000251;2;;23/01/2009;.;0;0;;;;;
0021000322;2;16/11/1987;30/01/2009;33000;1;0;;;;;
0021000364;3;;05/02/2009;33127;1;1;;;;;
0021000386;2;27/07/1969;06/02/2009;33300;1;0;;;;;
0021000397;1;20/09/1990;07/02/2009;33290;1;1;;;;;
0021000530;2;04/09/1941;04/03/2009;33800;0;0;;;;;
0021000560;1;02/10/1975;09/03/2009;33000;0;0;;;;;
0021000602;2;22/11/1951;14/03/2009;64000;0;0;;;;;
0021000645;2;12/03/1970;21/03/2009;33000;0;1;;;;;
0021000657;2;;24/03/2009;33240;0;0;;;;;
0021000662;1;12/05/1979;24/03/2009;33000;0;1;;;;;
0021000684;2;05/11/1946;27/03/2009;33000;0;0;;;;;
0021000699;2;08/06/1973;31/03/2009;33400;0;0;;;;;
0021000727;1;06/11/1987;03/04/2009;79260;0;1;;;;;
0021000734;2;;03/04/2009;64340;0;0;;;;;
0021000791;1;30/12/1992;10/04/2009;33185;0;1;;;;;
0021000885;3;;23/04/2009;17220;0;0;;;;;
0021000937;2;29/01/1968;30/04/2009;33600;1;1;;;;;
0021000978;3;;06/05/2009;33610;0;0;;;;;
0021001037;1;08/01/1982;14/05/2009;33400;1;0;;;;;
0021001044;1;03/11/1985;15/05/2009;33700;0;1;;;;;
0021001051;3;;16/05/2009;33400;0;0;;;;;
0021001099;3;;21/05/2009;24640;0;0;;;;;
0021001146;1;07/04/1985;28/05/2009;33400;1;1;;;;;
0021001163;2;27/01/1968;29/05/2009;33560;1;0;;;;;
0021001166;2;22/08/1954;29/05/2009;24000;0;0;;;;;
0021001241;3;06/03/1971;09/06/2009;33320;0;0;;;;;
0021001393;2;;17/06/2009;03300;0;0;;;;;
0021001403;2;01/06/1965;18/06/2009;33400;1;1;;;;;
0021001418;2;11/10/1975;18/06/2009;33120;0;1;;;;;
0021001420;2;11/10/1963;18/06/2009;33000;0;1;;;;;
0021001669;2;14/05/1982;24/08/2009;33130;1;0;;;;;
0021001765;2;;04/09/2009;14000;1;0;;;;;
0021001771;2;;05/09/2009;33800;0;0;;;;;
0021001838;3;14/09/1980;12/09/2009;.;0;1;;;;;
0021001886;2;;29/09/2009;.;0;0;;;;;
0021001962;3;12/04/1988;12/10/2009;.;0;1;;;;;
0021001964;2;;12/10/2009;.;0;0;;;;;
0021002064;3;24/06/1982;26/10/2009;33370;1;0;;;;;
