ID_CLIENT;ID_CMDE;CODE_MAG;DT_CMDE;QTE_ART;MTT_REMISE;QT_UNIV1;CA_UNIV1;QT_UNIV2;CA_UNIV2;QT_UNIV3;CA_UNIV3;CA_UNIV5;QT_UNIV5;QT_UNIV4;CA_UNIV4;CA_TOTAL;TICKET;COLLECTION;CANAL_ACHAT;FLAG_SOLDE;QTART_SOLDE;CA_SOLDE;QTART_PROMO;CA_PROMO
0021000227;10126168;2;17/05/2013;1;0;;;1;35;;;;;;;35;1;PE;STORE;0;;;;
0021000227;10098848;2;21/06/2012;1;0;;;1;35;;;;;;;35;1;PE;STORE;0;;;;
0021000241;10125333;2;02/05/2013;1;0;;;;;;;;;1;35;35;1;PE;STORE;0;;;;
0021000241;10041801;48;14/08/2012;1;0;;;1;9.9;;;;;;;9.9;1;AH;STORE;0;;;;
0021000322;10123995;2;30/03/2013;2;0;;;;;;;149.8;2;;;149.8;1;PE;STORE;0;;;;
0021000364;10040937;37;02/02/2012;1;0;;;;;1;15;;;;;15;1;AH;STORE;1;;;;
0021000364;10089103;2;30/01/2012;1;4;;;;;1;16;;;;;16;1;AH;STORE;1;;;;
0021000397;10060282;37;15/05/2013;1;12;;;;;;;;;1;23;23;1;PE;STORE;0;;;;
0021000397;10122068;2;23/02/2013;1;12;1;53;;;;;;;;;53;1;PE;STORE;0;;;;
0021000397;10114965;2;26/12/2012;1;75;;;;;;;;;;;175;1;AH;STORE;0;;;;
0021000397;10111034;2;03/11/2012;1;0;1;69;;;;;;;;;69;1;AH;STORE;0;;;;
0021000397;10052412;48;02/07/2013;3;0;1;52;2;52.5;;;;;;;104.5;1;PE;STORE;1;;;;
0021000397;10060281;37;15/05/2013;4;44.4;;;2;62.3;;;;;1;0;110.6;1;PE;STORE;0;;;;
0021000397;10058026;48;21/12/2013;2;38.5;2;119.5;;;;;;;;;119.5;1;AH;STORE;0;;;;
0021000397;10050314;37;28/09/2012;2;65.4;;;;;;;152.6;2;;;152.6;1;AH;STORE;0;;;;
0021000397;10089848;2;04/02/2012;1;0;1;29;;;;;;;;;29;1;AH;STORE;1;;;;
0021000645;10091147;2;17/02/2012;2;47.8;1;24;;;;;;;;;51.2;1;AH;STORE;1;;;;
0021000645;10091310;2;18/02/2012;1;1.9;1;17.1;;;;;;;;;17.1;1;AH;STORE;1;;;;
0021000734;10033354;850;01/12/2012;1;0;1;48.3;;;;;;;;;48.3;1;AH;STORE;0;;;;
0021000734;10032093;850;22/09/2012;1;0;1;49;;;;;;;;;49;1;AH;STORE;0;;;;
0021000734;10033355;850;01/12/2012;1;0;1;55.3;;;;;;;;;55.3;1;AH;STORE;0;;;;
0021000734;10042124;850;02/11/2013;1;0;1;48.3;;;;;;;;;48.3;1;AH;STORE;0;;;;
